NestID,County,Substrate,Latitude,Longitude,Occupied,Active,Successful,Hatched,Fledged,Perished,Status,Station,Distance
VO913,Volusia,Tree,28.6858,-81.00092,0,0,0,0,0,0,Inactive,USW00012854,25.85140386
VO914,Volusia,Artificial Substrate,29.19668,-81.069969,1,1,1,1,1,0,Successful,USW00012834,2.582853095
VO915,Volusia,Tree,29.036678,-80.929243,0,0,0,0,0,0,Inactive,USW00012834,20.57803307
VO921,Volusia,Tree,29.255034,-81.0415,1,1,1,2,2,0,Successful,USW00012834,9.531601638
VO922,Volusia,Tree,28.811166,-80.855666,1,1,1,2,2,0,Successful,USW00012854,37.96199522
VO923,Volusia,Tree,28.806983,-80.834468,0,0,0,0,0,0,Inactive,USW00012854,39.98176889
VO991,Volusia,Tree,29.34173934,-81.08526832,0,0,0,0,0,0,Taken,USW00012834,18.75151157
VO993,Volusia,Artificial Substrate,28.991747,-80.961906,0,0,0,0,0,0,Inactive,USW00012834,22.86122327
WK009,Wakulla,Tree,30.154167,-84.2175,1,1,1,1,1,0,Successful,USW00093805,29.55863362
WK018,Wakulla,Tree,30.083264,-84.169961,1,1,0,2,0,2,Failed,USW00093805,38.65231369
WK019,Wakulla,Tree,30.09466667,-84.16133333,1,1,0,0,0,0,Failed,USW00093805,37.91641045
WK033,Wakulla,Tree,30.108667,-84.142,1,1,1,2,2,0,Successful,USW00093805,37.52062257
WK035,Wakulla,Tree,30.125126,-84.135108,1,1,1,2,2,0,Successful,USW00093805,36.36195504
WK036,Wakulla,Tree,30.136944,-84.141111,1,1,1,1,1,0,Successful,USW00093805,34.95439495
WK037,Wakulla,Tree,30.096693,-84.157308,1,1,1,1,1,0,Successful,USW00093805,37.90762195
WL009,Walton,Tree,30.37276,-86.31358,1,1,1,1,1,0,Successful,USW00053853,14.92935253
WL010,Walton,Tree,30.306438,-86.080687,1,1,0,1,0,1,Failed,USW00073805,28.44864059
WL910,Walton,Tree,30.479631,-86.285776,0,0,0,0,0,0,Destroyed,USW00053853,19.88009028
WL921,Walton,Tree,30.412337,-86.305006,0,0,0,0,0,0,Inactive,USW00053853,15.71516141
AL003,Alachua,Tree,29.497005,-82.132374,0,0,0,0,0,0,Inactive,USW00012816,25.72187803
AL010,Alachua,Tree,29.614167,-82.3,1,0,0,0,0,0,Failed,USW00012816,8.927026165
AL014,Alachua,Tree,29.568667,-82.263333,1,1,1,1,1,0,Successful,USW00012816,13.73559802
AL027,Alachua,Tree,29.63474,-82.19631,1,1,1,1,1,0,Successful,USW00012816,9.972370062
AL028,Alachua,Tree,29.4895,-82.177333,1,1,1,1,1,0,Successful,USW00012816,24.42515189
AL032,Alachua,Tree,29.555167,-82.409667,1,1,1,1,1,0,Successful,USW00012816,19.93360378
AL046,Alachua,Tree,29.672833,-82.208,0,0,0,0,0,0,Inactive,USW00012816,6.898737751
AL054,Alachua,Tree,29.527075,-82.106813,1,1,1,2,2,0,Successful,USW00012816,24.5500864
AL061,Alachua,Tree,29.619709,-82.214717,1,1,1,1,1,0,Successful,USW00012816,9.959045887
AL062,Alachua,Tree,29.500833,-82.147667,1,1,1,2,2,0,Successful,USW00012816,24.58596406
AL084,Alachua,Tree,29.6285,-82.353,0,0,0,0,0,0,Inactive,USW00012816,10.23227776
AL090,Alachua,Tree,29.503537,-82.090799,1,1,1,1,1,0,Successful,USW00012816,27.54093142
AL092,Alachua,Tree,29.6605,-82.1945,1,1,1,2,2,0,Successful,USW00012816,8.606837557
AL093,Alachua,Tree,29.548,-82.290333,1,1,1,1,1,0,Successful,USW00012816,16.03843722
AL096,Alachua,Tree,29.556944,-82.320972,1,1,1,1,1,0,Successful,USW00012816,15.60120511
AL101,Alachua,Tree,29.4935791,-82.1285319,1,1,1,2,2,0,Successful,USW00012816,26.24345818
AL102,Alachua,Tree,29.487833,-82.1755,1,0,0,0,0,0,Failed,USW00012816,24.66522754
AL107,Alachua,Tree,29.4455,-82.15533,1,1,1,2,2,0,Successful,USW00012816,29.7611201
AL109,Alachua,Tree,29.607272,-82.225608,1,1,1,2,1,1,Successful,USW00012816,10.577155
